stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id,stop_url
6010,"Minnetonka Blvd & Vine St","Near side N",  44.908314, -93.558342,"Minnetonka Blvd",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6010
6011,"Minnetonka Blvd & Byron Circle","Far side N",  44.909237, -93.557831,"Minnetonka Blvd",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6011
6012,"Minnetonka Blvd & West St","Near side N",  44.911671, -93.555183,"Minnetonka Blvd",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6012
6013,"Minnetonka Blvd & Curve St","Near side E",  44.911968, -93.554710,"Minnetonka Blvd",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6013
6014,"Minnetonka Blvd & Pineview Court","Far side E",  44.912773, -93.553070,"Minnetonka Blvd",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6014
6015,"Minnetonka Blv & Greenwood Circ","Far side E",  44.913124, -93.552200,"Minnetonka Blv",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6015
6016,"Minnetonka Blv & Greenwood Circ","Near side E",  44.913338, -93.550179,"Minnetonka Blv",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6016
6017,"Minnetonka Blvd & Forest Dr","Far side N",  44.914028, -93.548431,"Minnetonka Blvd",SHOREWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6017
6018,"Minnetonka Blvd & Lodge Ln (N)","Across from N",  44.917728, -93.548637,"Minnetonka Blvd",SHOREWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6018
602,"Portland Av S & 94 St E","Across from N",  44.833405, -93.268219,"Portland Av S",BLOOMINGTON,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=602
6020,"Minnetonka Blvd & Linwood Circle","Across from E",  44.919228, -93.547691,"Minnetonka Blvd",SHOREWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6020
6021,"Minnetonka Blv & Fatima Place","Near side E",  44.919682, -93.546463,"Minnetonka Blv",SHOREWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6021
6022,"Minnetonka Blvd & Lakeway Ter","Near side E",  44.920158, -93.544777,"Minnetonka Blvd",SHOREWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6022
6023,"Minnetonka Blvd & Garden Rd","Far side E",  44.920383, -93.543243,"Minnetonka Blvd",SHOREWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6023
6024,"Minnetonka Blvd & Bayswater Rd","Near side E",  44.920490, -93.538521,"Minnetonka Blvd",SHOREWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6024
6025,"Minnetonka Blv & St James Gate","Near side E",  44.920578, -93.537468,"Minnetonka Blv",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6025
6028,"Minnetonka Blvd & Circle Dr","Far side N",  44.927216, -93.523109,"Minnetonka Blvd",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6028
6029,"Minnetonka Blv & Carsonwood Av","Far side N",  44.928726, -93.522797,"Minnetonka Blv",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6029
603,"Portland Av S & 93 St E","Near side N",  44.835217, -93.268204,"Portland Av S",BLOOMINGTON,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=603
6030,"Minnetonka Blvd & Sibley Av","Near side N",  44.929749, -93.522362,"Minnetonka Blvd",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6030
6031,"Minnetonka Blvd & East Valley Rd","Far side E",  44.931290, -93.520691,"Minnetonka Blvd",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6031
604,"Portland Av S & 92 St E","Near side N",  44.836956, -93.268196,"Portland Av S",BLOOMINGTON,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=604
6048,"Minnetonka & St Therese School","Near side N",  44.942078, -93.509697,"Minnetonka",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6048
6049,"Minnetonka Blv & St Therese Home","Near side E",  44.942066, -93.508537,"Minnetonka Blv",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6049
605,"Portland Av S & 91 St E","Across from N",  44.838833, -93.268196,"Portland Av S",BLOOMINGTON,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=605
6050,"Minnetonka Blvd & Therese St","Near side E",  44.942055, -93.506882,"Minnetonka Blvd",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6050
6051,"Minnetonka Blvd & Leroy St","Near side E",  44.942039, -93.505623,"Minnetonka Blvd",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6051
6052,"Minnetonka Blvd & Lowell St","Near side E",  44.942013, -93.504341,"Minnetonka Blvd",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6052
6054,"Plymouth (CR 61) & Frear Dr","Across from N",  44.942448, -93.446693,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6054
6056,"Plymouth (CR 61) & Bridge St","Across from N",  44.943394, -93.445313,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6056
6057,"Plymouth (CR 61) & Rutledge Circ","Across from N",  44.943844, -93.444267,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6057
