fare_id,price,currency_type,payment_method,transfers,transfer_duration
484,2.10,USD,1,,
485,2.15,USD,1,,
486,4.35,USD,1,,
487,4.35,USD,1,,
488,4.35,USD,1,,
489,4.35,USD,1,,
490,4.45,USD,1,,
491,4.50,USD,1,,
492,4.65,USD,1,,
493,4.75,USD,1,,
494,4.85,USD,1,,
495,9.30,USD,1,,
496,5.60,USD,1,,
497,6.35,USD,1,,
498,6.60,USD,1,,
499,5.30,USD,1,,
500,6.00,USD,1,,
501,4.95,USD,1,,
502,5.25,USD,1,,
503,10.25,USD,1,,
504,5.60,USD,1,,
505,4.80,USD,1,,
506,2.10,USD,1,,
507,2.10,USD,1,,
508,2.10,USD,1,,
509,2.10,USD,1,,
510,2.10,USD,1,,
511,6.20,USD,1,,
512,2.10,USD,1,,
513,2.10,USD,1,,
514,2.10,USD,1,,
515,2.10,USD,1,,
516,2.30,USD,1,,
517,2.65,USD,1,,
518,3.15,USD,1,,
519,3.50,USD,1,,
520,3.80,USD,1,,
521,4.10,USD,1,,
522,4.65,USD,1,,
523,5.00,USD,1,,
524,3.80,USD,1,,
525,5.00,USD,1,,
526,5.10,USD,1,,
527,4.55,USD,1,,
528,4.75,USD,1,,
529,4.35,USD,1,,
530,3.90,USD,1,,
531,3.70,USD,1,,
532,3.20,USD,1,,
533,2.50,USD,1,,
534,2.10,USD,1,,
535,2.10,USD,1,,
536,4.15,USD,1,,
537,4.15,USD,1,,
538,4.15,USD,1,,
539,4.15,USD,1,,
540,4.35,USD,1,,
541,4.40,USD,1,,
542,4.55,USD,1,,
543,4.65,USD,1,,
544,4.80,USD,1,,
545,9.15,USD,1,,
546,5.50,USD,1,,
547,6.25,USD,1,,
548,6.55,USD,1,,
549,5.30,USD,1,,
550,5.95,USD,1,,
551,4.85,USD,1,,
552,5.10,USD,1,,
553,10.10,USD,1,,
554,5.45,USD,1,,
555,4.65,USD,1,,
556,2.90,USD,1,,
557,2.50,USD,1,,
558,2.25,USD,1,,
559,2.10,USD,1,,
560,2.10,USD,1,,
561,2.10,USD,1,,
562,6.20,USD,1,,
563,2.10,USD,1,,
564,2.10,USD,1,,
565,2.10,USD,1,,
566,2.10,USD,1,,
567,2.40,USD,1,,
568,2.90,USD,1,,
569,3.30,USD,1,,
570,3.65,USD,1,,
571,4.00,USD,1,,
572,4.50,USD,1,,
573,4.85,USD,1,,
574,3.65,USD,1,,
575,4.85,USD,1,,
576,5.10,USD,1,,
577,4.55,USD,1,,
578,4.65,USD,1,,
579,4.35,USD,1,,
580,3.90,USD,1,,
581,3.70,USD,1,,
582,3.10,USD,1,,
583,2.10,USD,1,,
584,2.10,USD,1,,
585,2.10,USD,1,,
586,3.95,USD,1,,
587,3.95,USD,1,,
588,3.95,USD,1,,
589,3.95,USD,1,,
590,4.10,USD,1,,
591,4.25,USD,1,,
592,4.45,USD,1,,
593,4.50,USD,1,,
594,4.65,USD,1,,
595,8.90,USD,1,,
596,5.35,USD,1,,
597,6.10,USD,1,,
598,6.40,USD,1,,
599,5.30,USD,1,,
600,5.95,USD,1,,
601,4.70,USD,1,,
602,5.00,USD,1,,
603,10.00,USD,1,,
604,5.35,USD,1,,
605,4.55,USD,1,,
606,3.10,USD,1,,
607,2.75,USD,1,,
608,2.45,USD,1,,
609,2.10,USD,1,,
610,2.10,USD,1,,
611,2.10,USD,1,,
612,2.10,USD,1,,
613,6.20,USD,1,,
614,2.10,USD,1,,
615,2.10,USD,1,,
616,2.10,USD,1,,
617,2.10,USD,1,,
618,2.70,USD,1,,
619,3.10,USD,1,,
620,3.55,USD,1,,
621,3.90,USD,1,,
622,4.40,USD,1,,
623,4.80,USD,1,,
624,3.55,USD,1,,
625,4.75,USD,1,,
626,5.15,USD,1,,
627,4.60,USD,1,,
628,4.50,USD,1,,
629,4.35,USD,1,,
630,3.95,USD,1,,
631,3.75,USD,1,,
632,3.30,USD,1,,
633,2.60,USD,1,,
634,2.10,USD,1,,
635,2.10,USD,1,,
636,3.70,USD,1,,
637,3.70,USD,1,,
638,3.70,USD,1,,
639,3.70,USD,1,,
640,3.90,USD,1,,
641,4.00,USD,1,,
642,4.30,USD,1,,
643,4.40,USD,1,,
644,4.55,USD,1,,
645,8.60,USD,1,,
646,5.25,USD,1,,
647,6.00,USD,1,,
648,6.30,USD,1,,
649,5.30,USD,1,,
650,6.00,USD,1,,
651,4.70,USD,1,,
652,5.00,USD,1,,
653,10.00,USD,1,,
654,5.35,USD,1,,
655,4.55,USD,1,,
656,3.10,USD,1,,
657,2.75,USD,1,,
658,2.45,USD,1,,
659,2.10,USD,1,,
660,2.10,USD,1,,
661,2.10,USD,1,,
662,2.10,USD,1,,
663,2.10,USD,1,,
664,6.20,USD,1,,
665,2.10,USD,1,,
666,2.10,USD,1,,
667,2.10,USD,1,,
668,2.70,USD,1,,
669,3.10,USD,1,,
670,3.55,USD,1,,
671,3.90,USD,1,,
672,4.40,USD,1,,
673,4.80,USD,1,,
674,3.55,USD,1,,
675,4.75,USD,1,,
676,5.15,USD,1,,
677,4.60,USD,1,,
678,4.50,USD,1,,
679,4.35,USD,1,,
680,3.95,USD,1,,
681,3.75,USD,1,,
682,3.30,USD,1,,
683,2.60,USD,1,,
684,2.10,USD,1,,
685,2.10,USD,1,,
686,3.70,USD,1,,
687,3.70,USD,1,,
688,3.70,USD,1,,
689,3.70,USD,1,,
690,3.90,USD,1,,
691,4.00,USD,1,,
692,4.30,USD,1,,
693,4.40,USD,1,,
694,4.55,USD,1,,
695,8.60,USD,1,,
696,5.25,USD,1,,
697,6.00,USD,1,,
698,6.30,USD,1,,
699,5.30,USD,1,,
700,6.00,USD,1,,
701,4.70,USD,1,,
702,5.00,USD,1,,
703,10.00,USD,1,,
704,5.35,USD,1,,
705,4.55,USD,1,,
706,3.10,USD,1,,
707,2.75,USD,1,,
