route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
1,2022_02_14-SU-MVS-Sunday-27,1060975,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061012,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060976,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061013,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060977,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061014,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060978,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061015,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060979,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061016,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060980,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061017,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060981,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061018,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060982,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061019,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060983,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061020,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060984,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061021,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060985,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061022,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060986,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061023,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060987,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061024,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060988,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061025,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060989,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061026,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060990,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061027,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060991,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061028,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060992,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061029,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060993,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061030,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060994,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061031,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060995,San Francisco Int'l Airport + Millbrae,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061032,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060996,San Francisco Int'l Airport + Millbrae,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061033,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060998,San Francisco Int'l Airport + Millbrae,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061034,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1061004,San Francisco Int'l Airport + Millbrae,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061035,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060999,San Francisco Int'l Airport + Millbrae,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061010,Antioch via SFO,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1061005,San Francisco Int'l Airport + Millbrae,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061039,Antioch via SFO,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1061006,San Francisco Int'l Airport + Millbrae,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061040,Antioch via SFO,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1061007,San Francisco Int'l Airport + Millbrae,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061041,Antioch via SFO,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1061003,San Francisco Int'l Airport + Millbrae,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061042,Antioch via SFO,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1061001,San Francisco Int'l Airport + Millbrae,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061038,Antioch via SFO,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1061002,San Francisco Int'l Airport + Millbrae,1,,1001439_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061037,Antioch via SFO,0,,1001357_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061252,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061217,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061248,Daly City,1,,1061252_shp,,1,1
