stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
15928,,Los Reales/Cmo Alegre,W LOS REALES RD & S CMO ALEGRE,32.119235,-111.033849,,,,,0
15929,,Irvington/Greenway,E IRVINGTON RD & S GREENWAY DR,32.163179,-110.9395,,,,,0
15930,,Pantano/3rd St,N PANTANO RD & E 3RD ST,32.231317,-110.823928,,,,,0
15931,,Los Reales/Cardinal,W LOS REALES RD & S CARDINAL AVE,32.119255,-111.029395,,,,,0
15933,,6th Av/Pennington,N 6TH AVE & E ALAMEDA ST,32.223679,-110.968525,,,,,0
15934,,Mission/Mission Pl,S MISSION RD & W IRVINGTON PL,32.165268,-111.006438,,,,,0
15935,,Mission/Mission Pl,S MISSION RD & W MISSION PL,32.166773,-111.006062,,,,,0
15937,,Oracle/11085(SteamPump),N ORACLE PARK N RIDE DR & N ORACLE RD,32.407204,-110.947367,,,,,0
15938,,Craycroft/Williams Blvd,S CRAYCROFT RD & E WILLIAMS BLVD,32.217546,-110.875277,,,,,0
15939,,Lambert/Riverfront Park,W LAMBERT LN & N C MIRA MESA,32.398083,-110.977876,,,,,0
15940,,Lambert/Riverfront Park,W LAMBERT LN & N C MIRA MESA,32.398335,-110.97798,,,,,0
15942,,6th St/Highland,E 6TH ST & N MOUNTAIN AVE,32.227844,-110.95134,,,,,0
15944,,Old Vail Rd/Rita Rd,E OLD VAIL RD & S RITA RD,32.100648,-110.800032,,,,,0
15945,,Glenn/Wyatt,E GLENN ST & N WYATT DR,32.25788,-110.884036,,,,,0
15946,,Magee/La Canada,W MAGEE RD & N EL TOVAR PL,32.351699,-110.99505,,,,,0
15947,,Old Vail Rd/Rita Rd,E OLD VAIL RD & S RITA RD,32.100772,-110.80085,,,,,0
15948,,Romero/Roger,N ROMERO RD & W ROGER RD,32.279232,-111.003395,,,,,0
15949,,Romero/Smoot,N ROMERO RD & W SMOOT DR,32.27648,-111.003342,,,,,0
15950,,Romero/Smoot,N ROMERO RD & W SMOOT DR,32.276603,-111.00344,,,,,0
15951,,Casino del Sol Park & Ride,S VIVIANA RD,32.13118,-111.082599,,,,,0
15952,,Davis/Ruthrauff,N DAVIS AVE & W DIAMOND ST,32.294822,-111.027099,,,,,0
