stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
"73710","","NE 80TH ST & 126TH AVE NE","","47.6753769","-122.172409","19"
"73720","","NE 80TH ST & 124TH AVE NE","","47.6753807","-122.17421","19"
"73722","","NE 80TH ST & 122ND AVE NE","","47.6754265","-122.176529","19"
"73724","","NE 80TH ST & 120TH AVE NE","","47.6755219","-122.181084","19"
"73730","","124TH AVE NE & NE 80TH WAY","","47.6777115","-122.17585","19"
"73744","","116TH AVE NE & NE 75TH PL","","47.6747322","-122.184509","19"
"73745","","116TH AVE NE & NE 75TH ST","","47.6719666","-122.185738","19"
"73757","","NE 85TH ST & 161ST AVE NE","","47.6784592","-122.126465","19"
"73758","","NE 85TH ST & 160TH AVE NE","","47.6786156","-122.128014","19"
"73812","","KIRKLAND TC","","47.6763","-122.203323","19"
"73814","","KIRKLAND TC","","47.6768227","-122.203346","19"
"73816","","KIRKLAND TC","","47.6758537","-122.203468","19"
"73818","","KIRKLAND TC","","47.6765175","-122.203552","19"
"73840","","NE 85TH ST & 120TH AVE NE","","47.6791916","-122.180069","19"
"73845","","NE 85TH ST & 126TH AVE NE","","47.6792908","-122.173225","19"
"73847","","NE 85TH ST & 128TH AVE NE","","47.6793518","-122.16906","19"
"73848","","NE 85TH ST & 154TH AVE NE","","47.6785355","-122.133942","19"
"73849","","NE 85TH ST & 158TH AVE NE","","47.6784973","-122.129852","19"
"73852","","NE 85TH ST & 132ND AVE NE","","47.6794167","-122.164597","19"
"73853","","NE 90TH ST & 154TH AVE NE","","47.6822777","-122.134338","19"
"73865","","NE 90TH ST & 154TH AVE NE","","47.6822929","-122.136017","19"
"73867","","NE 90TH ST & 151ST AVE NE","","47.6823158","-122.13868","19"
"73868","","NE 90TH ST & 151ST AVE NE","","47.6821861","-122.139099","19"
"73870","","NE 80TH ST & 124TH AVE NE","","47.6752434","-122.174248","19"
"73872","","NE 90TH ST & 154TH AVE NE","","47.6821404","-122.134361","19"
"73880","","NE 80TH ST & 126TH AVE NE","","47.675251","-122.171547","19"
"73890","","NE 80TH ST & 128TH AVE NE","","47.675251","-122.1698","19"
"73900","","NE 80TH ST & 130TH AVE NE","","47.6752586","-122.166275","19"
"73910","","NE 80TH ST & 132ND AVE NE","","47.6752625","-122.164345","19"
"73945","","NE REDMOND WAY & 145TH AVE NE","","47.6748924","-122.146492","19"
"73950","","NE 85TH ST & 132ND AVE NE","","47.679554","-122.16481","19"
"73951","","NE 85TH ST & 128TH AVE NE","","47.6794701","-122.170341","19"
"73952","","NE 85TH ST & 126TH AVE NE","","47.6794243","-122.173462","19"
"73953","","NE 85TH ST & 124TH AVE NE","","47.6793709","-122.177185","19"
"73960","","166TH AVE NE & NE 83RD ST","","47.6771545","-122.11908","19"
"73970","","166TH AVE NE & NE 87TH ST","","47.6800995","-122.119064","19"
"73990","","166TH AVE NE & NE 91ST ST","","47.6832581","-122.119049","19"
"74000","","166TH AVE NE & NE 95TH ST","","47.6859283","-122.1185","19"
"74001","","WILLOWS RD NE & NE 116TH ST","","47.7040672","-122.153076","19"
"74002","","NE 124TH ST & 134TH CT NE","","47.7113953","-122.163094","19"
"74003","","WILLOWS RD NE & NE 116TH ST","","47.7040596","-122.153282","19"
"74004","","NE 124TH ST & 134TH CT NE","","47.7115288","-122.162766","19"
"74005","","WILLOWS RD NE & NE 102ND ST","","47.6929474","-122.151138","19"
"74008","","WILLOWS RD NE & NE 102ND ST","","47.6933403","-122.151016","19"
"74011","","WILLOWS RD NE & NE 102ND ST","","47.6918106","-122.150703","19"
"74012","","WILLOWS RD NE & NE 124TH ST","","47.7084389","-122.154022","19"
"74013","","WILLOWS RD NE & NE 102ND ST","","47.6913567","-122.150757","19"
"74014","","WILLOWS RD NE & NE 124TH ST","","47.7077065","-122.154091","19"
"74016","","WILLOWS RD NE & NE 95TH ST","","47.6855164","-122.145836","19"
"74017","","WILLOWS RD NE & NE 91ST ST","","47.683445","-122.143486","19"
"74019","","WILLOWS RD NE & NE 91ST ST","","47.6834373","-122.143723","19"
"74020","","166TH AVE NE & NE 100TH ST","","47.6895866","-122.117859","19"
"74027","","160TH AVE NE & NE 90TH ST","","47.6818008","-122.127655","19"
"74030","","166TH AVE NE & NE 102ND PL","","47.6915779","-122.118149","19"
"74032","","WOODINVILLE REDMO RD & NE 113TH CT","","47.7015076","-122.131927","19"
"74033","","NE 109TH ST & 156TH CT NE","","47.6979141","-122.130936","19"
"74034","","NE 109TH ST & 159TH AVE NE","","47.697403","-122.12793","19"
"74035","","160TH AVE NE & NE 106TH ST","","47.6953583","-122.126564","19"
"74037","","NE 104TH ST & 163RD AVE NE","","47.6930008","-122.12368","19"
"74039","","NE 104TH ST & 166TH AVE NE","","47.6929817","-122.119011","19"
"74041","","WOODINVILLE REDMO RD & NE 109TH ST","","47.6986656","-122.132027","19"
"74042","","WOODINVILLE REDMO RD NE & 154TH PL NE","","47.697422","-122.132271","19"
"74044","","WILLOWS RD NE & NE 95TH ST","","47.6882629","-122.148621","19"
"74071","","NE 124TH ST & 113TH AVE NE","","47.7112579","-122.190956","19"
"74072","","NE 124TH ST & 111TH LN NE","","47.7112579","-122.193581","19"
"74073","","NE 124TH ST & 109TH CT NE","","47.7112579","-122.197212","19"
"74074","","NE 124TH ST & WILLOWS RD NE","","47.7116966","-122.158051","19"
"74075","","NE 124TH ST & 103RD AVE NE","","47.7112732","-122.204239","19"
"74076","","NE 124TH ST & WILLOWS RD NE","","47.711319","-122.154747","19"
"74077","","NE 124TH ST & 103RD AVE NE","","47.7111282","-122.204056","19"
"74078","","NE 124TH ST & 107TH PL NE","","47.7111206","-122.196762","19"
"74079","","NE 124TH ST & 111TH LN NE","","47.7111206","-122.192825","19"
"74080","","WOODINVILLE REDMO RD NE & NE 90TH ST","","47.6828957","-122.123627","19"
"74081","","NE 124TH ST & 113TH AVE NE","","47.7111244","-122.190163","19"
"74082","","WOODINVILLE REDMO RD NE & 9400 BLOCK","","47.6847725","-122.125336","19"
"74083","","WOODINVILLE REDMO RD & NE 106TH ST","","47.695118","-122.132248","19"
"74084","","WOODINVILLE REDMO RD NE & NE 98TH ST","","47.6845665","-122.125404","19"
"74086","","WOODINVILLE REDMO RD NE & NE 90TH ST","","47.6824684","-122.123505","19"
"74089","","WOODINVILLE REDMO RD & NE 106TH ST","","47.6942482","-122.131248","19"
"74090","","132ND AVE NE & NE 133RD ST","","47.7192497","-122.164169","19"
"74097","","NE 124TH WAY & 172ND AVE NE","","47.7143669","-122.111237","19"
"74098","","NE 128TH ST & 172ND AVE NE","","47.7144127","-122.110291","19"
"74099","","NE 128TH ST & 179TH AVE NE","","47.7144508","-122.100868","19"
"74100","","132ND AVE NE & NE 134TH PL","","47.7210045","-122.164116","19"
"74101","","132ND AVE NE & NE 129TH ST","","47.7168579","-122.164391","19"
"74102","","132ND AVE NE & NE 129TH ST","","47.7161942","-122.164169","19"
"74103","","132ND PL NE & NE 126TH PL","","47.7130737","-122.165825","19"
"74104","","132ND PL NE & NE 126TH PL","","47.7133942","-122.165451","19"
"74105","","132ND AVE NE & NE 137TH PL","","47.7238045","-122.164032","19"
"74110","","132ND AVE NE & NE 140TH ST","","47.7260818","-122.163948","19"
"74111","","NE 128TH ST & 179TH AVE NE","","47.714592","-122.103493","19"
"74120","","NE 143RD ST & 131ST AVE NE","","47.730423","-122.165329","19"
"74130","","NE 143RD ST & 130TH AVE NE","","47.7304611","-122.167854","19"
"74135","","NE 144TH ST & 126TH AVE NE","","47.7313385","-122.172035","19"
"74140","","NE 144TH ST & 128TH AVE NE","","47.730896","-122.169334","19"
"74142","","NE 104TH ST & 176TH AVE NE","","47.6929588","-122.105812","19"
"74144","","172ND AVE NE & NE 115TH WAY","","47.7019615","-122.111099","19"
"74146","","179TH AVE NE & NE 108TH WAY","","47.6968842","-122.104965","19"
"74147","","172ND AVE NE & NE 111TH ST","","47.6994629","-122.110649","19"
"74150","","NE 144TH ST & 124TH AVE NE","","47.7313271","-122.174522","19"
"74151","","179TH AVE NE & NE 105TH ST","","47.6945343","-122.103241","19"
"74152","","NE 104TH ST & 170TH AVE NE","","47.6929626","-122.112877","19"
"74154","","NE 104TH ST & 179TH AVE NE","","47.6929474","-122.101837","19"
"74155","","INTERNATIONAL SCH & 128TH AVE SE","","47.6044426","-122.170074","19"
"74161","","124TH AVE NE & NE 142ND PL","","47.7288818","-122.175697","19"
"74180","","124TH AVE NE & NE 140TH ST","","47.7255402","-122.175682","19"
"74190","","124TH AVE NE & NE 137TH PL","","47.7232208","-122.175674","19"
"74202","","124TH AVE NE & NE 132ND ST","","47.719696","-122.175606","19"
"74220","","NE 132ND ST & 121ST AVE NE","","47.7185287","-122.179268","19"
"74222","","NE 132ND ST & 118TH AVE NE","","47.7184486","-122.182899","19"
"74225","","NE 128TH ST & 116TH AVE NE","","47.7147446","-122.185791","19"
"74226","","NE 128TH ST & TOTEM LK BLVD","","47.7147713","-122.183624","19"
"74230","","TOTEM LAKE TC","","47.7143059","-122.17981","19"
"74232","","TOTEM LAKE TC","","47.7145042","-122.180359","19"
"74233","","132ND AVE NE & NE 85TH ST","","47.6792717","-122.164017","19"
"74234","","TOTEM LAKE TC","","47.7147942","-122.180573","19"
"74250","","120TH AVE NE & TOTEM LK WAY","","47.7126236","-122.179947","19"
"74268","","124TH AVE NE & NE 124TH ST","","47.7070312","-122.175812","19"
"74270","","124TH AVE NE & NE 116TH ST","","47.7051926","-122.175888","19"
"74275","","NE 116TH ST & 120TH AVE NE","","47.7040596","-122.183022","19"
"74277","","NE 116TH ST & 114TH DR NE","","47.7040672","-122.189453","19"
"74280","","NE 116TH ST & 110TH AVE NE","","47.7040596","-122.193977","19"
