route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"100134","KCM","242","","Ridgecrest to Overlake P&R",3,"http://metro.kingcounty.gov/schedules/242/n0.html",,
"100509","KCM","824","","Newcastle Newport High School International School",3,"http://metro.kingcounty.gov/schedules/824/n0.html",,
"100073","KCM","182","","Northeast Tacoma to Federal Way TC",3,"http://metro.kingcounty.gov/schedules/182/n0.html",,
"100060","KCM","168","","Maple Valley to Kent Rail Station",3,"http://metro.kingcounty.gov/schedules/168/n0.html",,
"100017","KCM","119","","Dockton to Vashon to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/119/n0.html",,
"100113","KCM","221","","Education Hill to Crossroads to Eastgate",3,"http://metro.kingcounty.gov/schedules/221/n0.html",,
"100044","KCM","15","","Blue Ridge to Crown Hill to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/015/n0.html",,
"100275","KCM","8","","Seattle Center to Capitol Hill to Rainier Beach",3,"http://metro.kingcounty.gov/schedules/008/n0.html",,
"100012","KCM","113","","Shorewood to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/113/n0.html",,
"100111","KCM","22","","Westwood Village to Shorewood to Gatewood to Alask",3,"http://metro.kingcounty.gov/schedules/022/n0.html",,
"100151","KCM","26","","East Green Lake to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/026/n0.html",,
"100124","KCM","232","","Duvall to Redmond TC to Overlake TC to Bellevue TC",3,"http://metro.kingcounty.gov/schedules/232/n0.html",,
"100182","KCM","308","","Horizon View to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/308/n0.html",,
"100028","KCM","13","","Seattle Pacific - Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/013/n0.html",,
"100263","KCM","7","","Prentice St - Rainier Bch - Downtown Sea",3,"http://metro.kingcounty.gov/schedules/007/n0.html",,
"100221","KCM","41","","Lake City to Northgate TC to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/041/n0.html",,
"100042","KCM","148","","Fairwood--S.Renton Hub Shuttle.",3,"http://metro.kingcounty.gov/schedules/148/n0.html",,
"100005","KCM","106","","Renton TC to Skyway to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/106/n0.html",,
"100130","KCM","238","","UW/CCC Campus Bothell Totem Lake TC Kirkland TC",3,"http://metro.kingcounty.gov/schedules/238/n0.html",,
"100205","KCM","348","","NTC - Richmond Beach to Northgate TC",3,"http://metro.kingcounty.gov/schedules/348/n0.html",,
"100194","KCM","33","","Discovery Park to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/033/n0.html",,
"100057","KCM","164","","Green River Community College to Kent Rail Station",3,"http://metro.kingcounty.gov/schedules/164/n0.html",,
"100140","KCM","25","","Laurelhurst to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/025/n0.html",,
"100238","KCM","55","","Admiral District to Alaska Junction to Downtown Se",3,"http://metro.kingcounty.gov/schedules/055/n0.html",,
"100104","KCM","212","","Eastgate P&R to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/212/n0.html",,
"100253","KCM","64","","Lake City to Downtown Seattle to First Hill",3,"http://metro.kingcounty.gov/schedules/064/n0.html",,
"100078","KCM","187","","Federal Way/Twin Lakes",3,"http://metro.kingcounty.gov/schedules/187/n0.html",,
"100024","KCM","125","","Westwood Village to SSC to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/125/n0.html",,
"100081","KCM","19","","Magnolia",3,"http://metro.kingcounty.gov/schedules/019/n0.html",,
"100074","KCM","183","","Federal Way TC to Star Lake to Kent Rail Station",3,"http://metro.kingcounty.gov/schedules/183/n0.html",,
"100013","KCM","114","","Renton Highlands to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/114/n0.html",,
"100227","KCM","47","","Summit - Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/047/n0.html",,
"100049","KCM","154","","Tukwila Station to Boeing Industrial",3,"http://metro.kingcounty.gov/schedules/154/n0.html",,
"100203","KCM","346","","Aurora Village TC to Northgate TC",3,"http://metro.kingcounty.gov/schedules/346/n0.html",,
"100264","KCM","70","","University District to Eastlake to CBD",3,"http://metro.kingcounty.gov/schedules/070/n0.html",,
"100127","KCM","235","","Kingsgate P&R to Kirkland TC to Bellevue TC",3,"http://metro.kingcounty.gov/schedules/235/n0.html",,
"100475","KCM","157","","Lake Meridian P&R to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/157/n0.html",,
"100092","KCM","201","","South Mercer Island to West Mercer to M.I. P&R",3,"http://metro.kingcounty.gov/schedules/201/n0.html",,
"100148","KCM","257","","Brickyard P&R to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/257/n0.html",,
"100021","KCM","122","","Highline College to Burien TC to CBD",3,"http://metro.kingcounty.gov/schedules/122/n0.html",,
"100045","KCM","150","","Kent Rail Sta/Southcenter/Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/150/n0.html",,
"100251","KCM","601","","Group Health Coop - CBD",3,"http://metro.kingcounty.gov/schedules/601/n0.html",,
"100016","KCM","118","","Tahlequah to Vashon to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/118/n0.html",,
"100447","KCM","49","","U Dist - Broadway - Downtown Sea",3,"http://metro.kingcounty.gov/schedules/049/n0.html",,
"100214","KCM","372","","Woodinville P&R to University District",3,"http://metro.kingcounty.gov/schedules/372/n0.html",,
"100009","KCM","11","","Madison Park to Capitol Hill to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/011/n0.html",,
"100219","KCM","4","","E Queen Anne - CBD - Judkins Pk",3,"http://metro.kingcounty.gov/schedules/004/n0.html",,
"100020","KCM","121","","Highline College to Marine View to BurienTC to CBD",3,"http://metro.kingcounty.gov/schedules/121/n0.html",,
"100495","KCM","193","","Federal Way P&R to First Hill",3,"http://metro.kingcounty.gov/schedules/193/n0.html",,
