route_id,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_headsign_short
28,76280-1111100-0,16190438,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190505,"Old Town",0,East,902803,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190473,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190440,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190475,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190442,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190477,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190444,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190479,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190446,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190481,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190448,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190483,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190450,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190485,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190452,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190510,"Old Town",0,East,902805,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190487,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190513,"Old Town",0,East,902806,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190454,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190512,"Old Town",0,East,902805,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190489,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190515,"Old Town",0,East,902806,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190456,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190491,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190458,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190493,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190460,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190495,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190462,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190497,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190464,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190499,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190466,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190501,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190468,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190435,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190502,"Shelter Island",1,West,902803,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190470,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190507,"Shelter Island",1,West,902804,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190437,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190504,"Shelter Island",1,West,902803,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190472,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190509,"Shelter Island",1,West,902804,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190439,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190506,"Shelter Island",1,West,902803,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190474,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190441,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190476,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190443,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190478,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190445,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190480,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190447,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190482,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
