trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
151,05:32:00,05:32:00,70081,17,,0,0,52282.9029496548,1,,,,,1,1,,,,,,,,,,,
151,05:37:00,05:37:00,70061,18,,0,0,56605.6911251373,1,,,,,1,1,,,,,,,,,,,
151,05:41:00,05:41:00,70051,19,,0,0,60758.1579199088,1,,,,,1,1,,,,,,,,,,,
151,05:45:00,05:45:00,70041,20,,0,0,63727.0595235361,1,,,,,1,1,,,,,,,,,,,
151,05:52:00,05:52:00,70031,21,,0,0,70402.2438925509,1,,,,,1,1,,,,,,,,,,,
151,05:57:00,05:57:00,70021,22,,0,0,75820.7075686596,1,,,,,1,1,,,,,,,,,,,
151,06:03:00,06:03:00,70011,23,,0,0,78343.85336872,1,,,,,1,1,,,,,,,,,,,
153,05:00:00,05:00:00,70261,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
153,05:06:00,05:06:00,70241,2,,0,0,4150.37131800785,1,,,,,1,1,,,,,,,,,,,
153,05:12:00,05:12:00,70231,3,,0,0,10038.0785439453,1,,,,,1,1,,,,,,,,,,,
153,05:16:00,05:16:00,70221,4,,0,0,13225.9187231417,1,,,,,1,1,,,,,,,,,,,
153,05:21:00,05:21:00,70211,5,,0,0,17536.7322440077,1,,,,,1,1,,,,,,,,,,,
153,05:25:00,05:25:00,70201,6,,0,0,20644.22301489,1,,,,,1,1,,,,,,,,,,,
153,05:29:00,05:29:00,70191,7,,0,0,24584.7783321232,1,,,,,1,1,,,,,,,,,,,
153,05:33:00,05:33:00,70171,8,,0,0,27132.7246515711,1,,,,,1,1,,,,,,,,,,,
153,05:37:00,05:37:00,70161,9,,0,0,29148.2160905022,1,,,,,1,1,,,,,,,,,,,
153,05:42:00,05:42:00,70141,10,,0,0,34751.7363040124,1,,,,,1,1,,,,,,,,,,,
153,05:47:00,05:47:00,70131,11,,0,0,38246.270934417,1,,,,,1,1,,,,,,,,,,,
153,05:51:00,05:51:00,70121,12,,0,0,40231.7913188154,1,,,,,1,1,,,,,,,,,,,
153,05:55:00,05:55:00,70111,13,,0,0,43568.4223268357,1,,,,,1,1,,,,,,,,,,,
153,05:58:00,05:58:00,70101,14,,0,0,44915.9317421082,1,,,,,1,1,,,,,,,,,,,
153,06:01:00,06:01:00,70091,15,,0,0,47053.6608398715,1,,,,,1,1,,,,,,,,,,,
153,06:05:00,06:05:00,70081,16,,0,0,49378.0776940477,1,,,,,1,1,,,,,,,,,,,
153,06:10:00,06:10:00,70061,17,,0,0,53700.8658695301,1,,,,,1,1,,,,,,,,,,,
153,06:15:00,06:15:00,70051,18,,0,0,57853.3326643016,1,,,,,1,1,,,,,,,,,,,
153,06:19:00,06:19:00,70041,19,,0,0,60822.234267929,1,,,,,1,1,,,,,,,,,,,
153,06:25:00,06:25:00,70031,20,,0,0,67497.4186369437,1,,,,,1,1,,,,,,,,,,,
153,06:31:00,06:31:00,70021,21,,0,0,72915.8823130524,1,,,,,1,1,,,,,,,,,,,
153,06:37:00,06:37:00,70011,22,,0,0,75439.0281131,1,,,,,1,1,,,,,,,,,,,
183,19:48:00,19:48:00,70271,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
183,19:54:00,19:54:00,70261,2,,0,0,2898.26431637197,1,,,,,1,1,,,,,,,,,,,
183,20:00:00,20:00:00,70241,3,,0,0,7055.196573615,1,,,,,1,1,,,,,,,,,,,
183,20:06:00,20:06:00,70231,4,,0,0,12942.9037995525,1,,,,,1,1,,,,,,,,,,,
183,20:10:00,20:10:00,70221,5,,0,0,16130.7439787489,1,,,,,1,1,,,,,,,,,,,
183,20:15:00,20:15:00,70211,6,,0,0,20441.5574996149,1,,,,,1,1,,,,,,,,,,,
183,20:19:00,20:19:00,70201,7,,0,0,23549.0482704972,1,,,,,1,1,,,,,,,,,,,
183,20:23:00,20:23:00,70191,8,,0,0,27489.6035877303,1,,,,,1,1,,,,,,,,,,,
183,20:27:00,20:27:00,70171,9,,0,0,30037.5499071783,1,,,,,1,1,,,,,,,,,,,
183,20:30:00,20:30:00,70161,10,,0,0,32053.0413461094,1,,,,,1,1,,,,,,,,,,,
183,20:36:00,20:36:00,70141,11,,0,0,37656.5615596196,1,,,,,1,1,,,,,,,,,,,
183,20:40:00,20:40:00,70131,12,,0,0,41151.0961900242,1,,,,,1,1,,,,,,,,,,,
183,20:44:00,20:44:00,70121,13,,0,0,43136.6165744226,1,,,,,1,1,,,,,,,,,,,
183,20:47:00,20:47:00,70111,14,,0,0,46473.2475824428,1,,,,,1,1,,,,,,,,,,,
183,20:50:00,20:50:00,70101,15,,0,0,47820.7569977154,1,,,,,1,1,,,,,,,,,,,
